timestamp,action,trader,portfolio,coin,direction,baseId,entrySize,leverage,hlSize,reason,detail
2026-08-17T19:05:51.298Z,close,crypto_rocket,Main,NIL,short,defec724-2f86-49c4-9e17-7bf093882784,,,,Invo position gone (close or liquidation),
2026-08-17T19:06:11.261Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:06:31.460Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:06:51.307Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:07:11.758Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:07:31.404Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:07:51.378Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:08:11.668Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:08:31.781Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:08:52.354Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:09:12.402Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:09:32.571Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:09:53.128Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:10:12.944Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:10:33.448Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:10:53.622Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:11:13.935Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:11:34.616Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:11:54.706Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:12:15.093Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:12:35.877Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:12:55.932Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:13:16.440Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:13:36.861Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:13:57.439Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:14:17.833Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:14:37.885Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:14:58.023Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:15:18.610Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:15:38.724Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:15:58.960Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:16:21.782Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:16:42.052Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:17:02.439Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:17:22.871Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:17:43.024Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:18:03.418Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:18:23.998Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:18:43.808Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:19:03.824Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:19:23.579Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:19:43.801Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:20:03.520Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
